1 well 
1 great 
1 also 
1 best 
1 love 
1 life 
1 still 
1 years 
1 world 
1 both 
1 young 
1 always 
1 own 
1 performance 
1 role 
1 between 
1 family 
1 excellent 
1 especially 
1 fun 
1 series 
1 beautiful 
1 although 
1 shows 
1 played 
1 job 
1 each 
1 true 
1 day 
1 different 
1 wonderful 
1 plays 
1 once 
1 together 
1 later 
1 worth 
1 performances 
1 takes 
1 place 
1 dvd 
1 set 
1 perfect 
1 our 
1 screen 
1 himself 
1 everyone 
1 john 
1 enjoy 
1 classic 
1 ending 
1 actor 
0 no 
0 bad 
0 even 
0 dont 
0 acting 
0 make 
0 any 
0 could 
0 plot 
0 better 
0 off 
0 why 
0 thing 
0 nothing 
0 something 
0 im 
0 didnt 
0 worst 
0 actually 
0 cant 
0 thats 
0 want 
0 minutes 
0 script 
0 least 
0 enough 
0 pretty 
0 anything 
0 whole 
0 isnt 
0 guy 
0 theres 
0 might 
0 money 
0 horror 
0 reason 
0 making 
0 trying 
0 instead 
0 awful 
0 2 
0 believe 
0 looks 
0 poor 
0 boring 
0 wasnt 
0 someone 
0 waste 
0 terrible 
0 maybe 
0 stupid 
0 effects 
0 sense 
0 idea 
0 put 
0 looking 
0 hes 
0 said 
0 worse 
0 else 
0 everything 
0 seem 
0 either 
0 watched 
0 main 
0 supposed 
0 completely 
0 left 
0 10 
