id,labels
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,1
79,0
80,1
81,0
82,1
83,1
84,0
85,1
86,0
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,1
104,0
105,1
106,0
107,0
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,0
150,1
151,0
152,1
153,0
154,0
155,0
156,0
157,0
158,1
159,0
160,0
161,0
162,1
163,0
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,1
173,0
174,0
175,1
176,0
177,1
178,0
179,0
180,1
181,1
182,0
183,0
184,0
185,0
186,1
187,1
188,0
189,1
190,0
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,1
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,1
237,1
238,0
239,0
240,0
241,1
242,1
243,0
244,0
245,0
246,0
247,0
248,1
249,1
250,1
251,0
252,0
253,0
254,0
255,0
256,1
257,1
258,0
259,1
260,1
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,1
271,0
272,0
273,0
274,0
275,1
276,0
277,0
278,0
279,0
280,0
281,1
282,0
283,0
284,0
285,1
286,0
287,1
288,0
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,0
327,1
328,1
329,1
330,1
331,0
332,1
333,1
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,1
342,0
343,1
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,1
354,0
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,0
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,0
425,1
426,0
427,1
428,1
429,0
430,1
431,1
432,0
433,0
434,1
435,0
436,1
437,1
438,0
439,0
440,1
441,0
442,0
443,0
444,1
445,1
446,1
447,0
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,0
474,1
475,1
476,1
477,0
478,1
479,1
480,1
481,1
482,1
483,0
484,1
485,1
486,1
487,1
488,1
489,1
490,0
491,0
492,1
493,1
494,1
495,0
496,0
497,1
498,1
499,1
500,1
501,0
502,1
503,1
504,1
505,1
506,0
507,0
508,1
509,1
510,0
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,0
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,0
